,fold
2075,4956099
2076,2202300
2077,4617369
2078,3304059
2079,4589823
2080,2640892
2081,1095259
2082,3690244
2083,3695686
2084,4896200
2085,1974513
2086,3191355
2087,2920198
2088,3850515
2089,1380692
2090,1603259
2091,2243710
2092,5161469
2093,3445019
2094,1410432
2095,5155067
2096,5026957
2097,1386965
2098,1508830
2099,2242631
2100,3451812
2101,4625348
2102,1965719
2103,3828595
2104,2144154
2105,4525663
2106,1294498
2107,5800303
2108,3423228
2109,1071748
2110,4562111
2111,3559638
2112,4479506
2113,3218138
2114,1739801
2115,5394702
2116,1988823
2117,4876318
2118,3188123
2119,1131919
2120,5383083
2121,3324366
2122,5244530
2123,5271959
2124,2902965
2125,4889677
2126,3999359
2127,3965711
2128,1158818
2129,2123270
2130,4738442
2131,1677717
2132,3711765
2133,3047183
2134,3511656
2135,4329344
2136,1296867
2137,2648149
2138,1003671
